name,lat,lng,dist_text,dura_text,dist_value,dura_value
潜江市,30.408357932418923,112.9054740908161,154.8公里,2小时,154766.0,7339.0
黔东南苗族侗族自治州,26.589702969826032,107.98944624077879,941.3公里,11小时,941310.0,39629.0
黔南布依族苗族自治州,26.260616196073837,107.5284027057371,1017.2公里,12小时,1017169.0,43373.0
黔西南布依族苗族自治州,27.014344747084042,106.03857397725805,1103.7公里,12.8小时,1103683.0,45964.0
钦州市,21.986593539484296,108.66058016842224,1265.7公里,13.6小时,1265722.0,49033.0
秦皇岛市,39.941748102377936,119.60853063334328,1381.2公里,15.1小时,1381189.0,54418.0
青岛市,36.07222749666322,120.38945519114628,1047公里,11.3小时,1046974.0,40563.0
清远市,23.688230292088083,113.06246832527266,922.7公里,10.4小时,922744.0,37290.0
庆阳市,35.715215983562004,107.64938569595421,991.7公里,11.7小时,991671.0,42045.0
琼海市,19.26425401991763,110.4805445259504,1591公里,18.5小时,1591042.0,66624.0
琼中黎族苗族自治县,19.039163789180613,109.84451062847003,1618.6公里,18.7小时,1618581.0,67434.0
衢州市,28.975545802265025,118.86659674035565,559公里,6.9小时,558967.0,24801.0
曲靖市,25.49640693154367,103.8024348279468,1416.5公里,16.7小时,1416485.0,59973.0
泉州市,24.87995233049832,118.68244626680422,948.5公里,11小时,948460.0,39512.0
日喀则市,29.275657822511512,88.89370303482552,3663.6公里,48.1小时,3663607.0,173231.0
日照市,35.42283899843767,119.53341540456556,912.6公里,9.7小时,912606.0,35098.0
三门峡市,34.778327249459984,111.20653322387409,691.4公里,7.7小时,691412.0,27697.0
三明市,26.26973651599184,117.64552116782144,732.8公里,8.4小时,732804.0,30189.0
三沙市,30.316571904872184,112.26157741482734,222.5公里,2.8小时,222494.0,10165.0
三亚市,18.25873629174785,109.51855670139908,1765.5公里,20.4小时,1765488.0,73390.0
厦门市,24.485406605176305,118.09643549976653,968.8公里,11小时,968757.0,39663.0
山南市,29.243026939249226,91.77867513851903,3600公里,45.9小时,3600027.0,165254.0
汕头市,23.35909171772515,116.6885286405483,1075.5公里,11.9小时,1075522.0,42913.0
汕尾市,22.79126303654673,115.38155260365083,1119公里,12小时,1118962.0,43078.0
商洛市,33.87863385220776,109.92441788136406,656.3公里,7.3小时,656342.0,26172.0
商丘市,34.4202016658586,115.66244933826236,516.5公里,5.9小时,516529.0,21299.0
上海市,31.23592904225201,121.48053886017652,820.5公里,9.2小时,820484.0,33018.0
上饶市,28.46062592185173,117.94945960312224,563.9公里,6.9小时,563888.0,24800.0
韶关市,24.815881278583017,113.6035273456226,771.4公里,8.9小时,771377.0,31884.0
邵阳市,27.245270272808565,111.474432885931,548.5公里,6.6小时,548505.0,23860.0
绍兴市,30.036369311306895,120.58547847885336,778.3公里,9.5小时,778336.0,34167.0
深圳市,22.548456637984177,114.06455183658753,1058.4公里,12.1小时,1058407.0,43716.0
神农架林区,31.75049601124641,110.68252485039976,469.3公里,6.5小时,469300.0,23477.0
沈阳市,41.683830069190655,123.47109664482264,1785.6公里,19.5小时,1785621.0,70280.0
十堰市,32.63506185840116,110.80452956069568,441.1公里,5小时,441061.0,17940.0
